POS,Player,Team,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,RCB,237,229,34,7263,113,37.25,5586,130.02,7,50,643,234
2,Shikhar Dhawan,PKBS,217,216,29,6617,106*,35.39,5203,127.18,2,50,750,148
3,David Warner,DC,176,176,22,6397,126,41.54,4572,139.92,4,60,646,226
4,Rohit Sharma,MI,243,238,28,6211,109*,29.58,4776,130.05,1,42,554,257
5,Suresh Raina,CSK,205,200,30,5528,100*,32.52,4042,136.76,1,39,506,203
6,AB de Villiers,RCB,184,170,40,5162,133*,39.7,3403,151.68,3,40,413,251
7,MS Dhoni,CSK,250,218,87,5082,84*,38.79,3739,135.92,0,24,349,239
8,Chris Gayle,PBKS,142,141,16,4965,175*,39.72,3333,148.96,6,31,405,357
9,Robin Uthappa,CSK,205,197,17,4952,88,27.51,3799,130.35,0,27,481,182
10,Dinesh Karthik,RCB,242,221,46,4516,97*,25.81,3403,132.71,0,20,439,139
11,Ajinkya Rahane,CSK,172,159,17,4400,105*,30.99,3565,123.42,2,30,455,96
12,Ambati Rayudu,CSK,204,187,33,4348,100*,28.23,3409,127.54,1,22,359,173
13,Gautam Gambhir,DC,154,152,16,4217,93,31,3404,123.88,0,36,492,59
14,KL Rahul,LSG,118,109,20,4163,132*,46.78,3097,134.42,4,33,355,168
15,Faf du Plessis,RCB,130,123,11,4133,96,36.9,3081,134.14,0,33,374,145
16,Sanju Samson,RR,152,148,15,3888,119,29.23,2834,137.19,3,20,304,182
17,Shane Watson,CSK,145,141,16,3874,117*,30.99,2809,137.91,4,21,376,190
18,Manish Pandey,DC,170,158,27,3808,114*,29.07,3148,120.97,1,22,333,108
19,Kieron Pollard,MI,189,171,52,3412,87*,28.67,2316,147.32,0,16,218,223
20,Suryakumar Yadav,MI,139,123,22,3249,103*,32.17,2267,143.32,1,21,349,112
21,Jos Buttler,RR,96,95,10,3223,124,37.92,2173,148.32,5,19,319,149
22,Yusuf Pathan,SRH,174,154,44,3204,100,29.13,2241,142.97,1,13,262,158
23,Quinton de Kock,LSG,96,96,6,2907,140*,32.3,2166,134.21,2,20,287,114
24,Brendon McCullum,RCB,109,109,5,2880,158*,27.69,2186,131.75,2,13,293,130
25,Parthiv Patel,RCB,139,137,11,2848,81,22.6,2358,120.78,0,13,365,49
26,Rishabh Pant,DC,98,97,15,2838,128*,34.61,1918,147.97,1,15,260,129
27,Wriddhiman Saha,GT,161,136,24,2798,115*,24.98,2185,128.05,1,13,278,84
28,Shubman Gill,GT,91,88,14,2790,129,37.7,2081,134.07,3,18,273,80
29,Shreyas Iyer,KKR,101,101,13,2776,96,31.55,2214,125.38,0,19,237,99
30,Yuvraj Singh,MI,132,126,15,2750,83,24.77,2120,129.72,0,13,217,149
31,Virender Sehwag,PBKS,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
32,Glenn Maxwell,RCB,124,120,17,2719,95,26.4,1725,157.62,0,18,226,158
33,David Miller,GT,121,114,40,2714,101*,36.68,1961,138.4,1,12,187,126
34,Ravindra Jadeja,CSK,226,173,71,2692,62*,26.39,2094,128.56,0,2,193,99
35,Murali Vijay,CSK,106,106,5,2619,127,25.93,2149,121.87,2,13,247,91
36,Mayank Agarwal,SRH,123,117,4,2597,106,22.98,1943,133.66,1,13,255,97
37,Nitish Rana,KKR,105,99,9,2594,87,28.82,1918,135.25,0,18,229,131
38,Steve Smith,DC,103,93,21,2485,101,34.51,1940,128.09,1,11,225,60
39,Shaun Marsh,PBKS,71,69,7,2477,115,39.95,1866,132.74,1,20,266,78
40,Jacques Kallis,KKR,98,96,11,2427,89,28.55,2222,109.23,0,17,255,44
41,Dwayne Smith,GL,91,89,5,2385,87,28.39,1764,135.2,0,17,245,117
42,Sachin Tendulkar,MI,78,78,11,2334,100*,34.84,1948,119.82,1,13,295,29
