web-scraper-order,web-scraper-start-url,Laptops_Name,Laptops_Name-href,Laptop_Rating,Laptops_Specification
"1724905023-1","https://www.hp.com/in-en/shop/desktops.html","HP 60.5 cm (23.8) All-in-One Desktop PC 24-cb1802","https://www.hp.com/in-en/shop/hp-all-in-one-24-cb1802in-bundle-all-in-one-pc-7h0y7pa.html","","Specs
        Specifications
    
    
                
                        
                
                    
                        Operating system                    
                    
                        Windows 11 Home                    
                
            
                        
                
                    
                        Processor Name                    
                    
                        Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads)                    
                
            
                        
                
                    
                        Ports                    
                    
                        1 USB Type-A 5Gbps signaling rate (Battery Charging 1.2); 1 headphone/microphone combo                    
                
            
                        
                
                    
                        Graphics                    
                    
                        Intel® UHD Graphics                    
                
            
                        
                
                    
                        Memory and storage                    
                    
                        8 GB memory; 512 GB SSD storage                    
                
            
                        
                
                    
                        Video connectors                    
                    
                        Not Applicable                    
                
            
                    
                
            
                HP ELITE DRAGONFLY DC1015 (PDF 6MB)
            
            
                                                                        
                        
                            Product Info                        
                        
                                                            
                                    
                                                                                
                                            Sku                                        
                                    
                                    
                                        
                                            7H0Y7PA                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Product type                                        
                                    
                                    
                                        
                                            Desktops                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Series                                        
                                    
                                    
                                        
                                            HP Essentials                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Recommended Usage                                        
                                    
                                    
                                        
                                            Everyday computing                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Perfect For                                        
                                    
                                    
                                        
                                            Home                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Appearance                        
                        
                                                            
                                    
                                                                                
                                            Product color                                        
                                    
                                    
                                        
                                            Jet black                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Product design                                        
                                    
                                    
                                        
                                            Speckle design with weave pattern                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Form factor                                        
                                    
                                    
                                        
                                            All-in-One PC                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            SUPPORTED OPERATING SYSTEMS                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Operating system                                        
                                    
                                    
                                        
                                            Windows 11 Home                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Processors                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Processor Generation                                        
                                    
                                    
                                        
                                            12th Generation Intel® Core™ i3 processor                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Processor Name                                        
                                    
                                    
                                        
                                            Intel® Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Processor footnote                                        
                                    
                                    
                                        
                                            [6] Multi-core is designed to improve performance of certain software products. Not all customers or software applications will necessarily benefit from use of this technology. Performance and clock frequency will vary depending on application workload and your hardware and software configurations. Intel’s numbering, branding and/or naming is not a measurement of higher performance.
[7] Intel® Turbo Boost performance varies depending on hardware, software and overall system configuration. See http://www.intel.com/technology/turboboost/ for more information.                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Memory:                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Memory                                        
                                    
                                    
                                        
                                            8 GB DDR4-3200 MHz RAM (1 x 8 GB)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Memory slots                                        
                                    
                                    
                                        
                                            2 SODIMM                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Memory Note                                        
                                    
                                    
                                        
                                            Transfer rates up to 3200 MT/s.                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Memory layout                                        
                                    
                                    
                                        
                                            1 x 8 GB                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Storage:                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Hard drive description                                        
                                    
                                    
                                        
                                            512 GB Intel® PCIe® NVMe™ SSD                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Cloud service                                        
                                    
                                    
                                        
                                            25 GB Dropbox storage for 12 months                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Display and graphics:                        
                        
                                                            
                                    
                                                                                
                                            Display                                        
                                    
                                    
                                        
                                            60.5 cm (23.8) diagonal, FHD (1920 x 1080), VA, three-sided micro-edge, anti-glare, 250 nits, 72% NTSC                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Graphics                                        
                                    
                                    
                                        
                                            Intel® UHD Graphics                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Screen size                                        
                                    
                                    
                                        
                                            60.45 cm (23.8)                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Bezel                                        
                                    
                                    
                                        
                                            three-sided micro-edge                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Touchscreen                                        
                                    
                                    
                                        
                                            No                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Flicker-free                                        
                                    
                                    
                                        
                                            Yes                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Screen to body ratio                                        
                                    
                                    
                                        
                                            97.5%                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            MULTIMEDIA AND INPUT DEVICES                        
                        
                                                            
                                    
                                                                                
                                            Audio features                                        
                                    
                                    
                                        
                                            Dual 2 W speakers                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Keyboard                                        
                                    
                                    
                                        
                                            HP 510 Black Wireless Keyboard and mouse combo                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            CONNECTIVITY AND COMMUNICATIONS                        
                        
                                                            
                                    
                                                                                
                                            Network interface                                        
                                    
                                    
                                        
                                            Integrated 10/100/1000 GbE LAN                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Wireless                                        
                                    
                                    
                                        
                                            Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® and Bluetooth® 5 wireless card                                        
                                    
                                
                                                            
                                    
                                                                                
                                            I/O Port location                                        
                                    
                                    
                                        
                                            Side                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Ports                                        
                                    
                                    
                                        
                                            1 USB Type-A 5Gbps signaling rate (Battery Charging 1.2); 1 headphone/microphone combo                                        
                                    
                                
                                                            
                                    
                                                                                
                                            I/O Port location                                        
                                    
                                    
                                        
                                            Rear                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Ports                                        
                                    
                                    
                                        
                                            1 USB Type-A 5Gbps signaling rate; 2 USB 2.0 Type-A; 1 RJ-45                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Expansion slots                                        
                                    
                                    
                                        
                                            2 M.2 (1 for SSD, 1 for WLAN)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Video connectors                                        
                                    
                                    
                                        
                                            Not Applicable                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            CAMERA SPECIFICATIONS                        
                        
                                                            
                                    
                                                                                
                                            Webcam                                        
                                    
                                    
                                        
                                            HP Wide Vision 1080p FHD IR privacy camera with integrated dual array digital microphones                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            BATTERY AND POWER                        
                        
                                                            
                                    
                                                                                
                                            Power supply type                                        
                                    
                                    
                                        
                                            65 W Smart AC power adapter                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Energy Efficiency Compliance                                        
                                    
                                    
                                        
                                            EPEAT® registered                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Security Management:                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Security management                                        
                                    
                                    
                                        
                                            Kensington MicroSaver lock slot                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Software:                        
                        
                                                            
                                    
                                                                                
                                            Software included                                        
                                    
                                    
                                        
                                            McAfee LiveSafe™                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Software footnote                                        
                                    
                                    
                                        
                                            [2] Free 30 day subscription of McAfee LiveSafe service included. Internet access required and not included. Subscription required after expiration.                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Dimensions And Weight                        
                        
                                                            
                                    
                                                                                
                                            Dimensions (W x D x H)                                        
                                    
                                    
                                        
                                            54.06 x 18.37 x 41.9 cm                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Weight                                        
                                    
                                    
                                        
                                            5.37 kg                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Warranty And Services                        
                        
                                                            
                                    
                                                                                
                                            Warranty                                        
                                    
                                    
                                        
                                            1 year (1/1/1) limited warranty includes 1 year of parts and labor. On-site repair.                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Warranty footnote                                        
                                    
                                    
                                        
                                            Terms and conditions vary by country. Certain restrictions and exclusions apply.                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Environmental                        
                        
                                                            
                                    
                                                                                
                                            Environmental                                        
                                    
                                    
                                        
                                            15% post-consumer recycled plastic; Ocean-bound plastic                                        
                                    
                                
                                                    
                    
                                                
        
                
            
                See more Specs"
"1724905028-2","https://www.hp.com/in-en/shop/desktops.html","HP Envy Move 60.5 cm (23.8) All-in-One Portable Desktop PC 24-cs0047in","https://www.hp.com/in-en/shop/hp-envy-move-all-in-one-24-cs0047in-aio-pc-9r4n9pa.html","","Specs
        Specifications
    
    
                
                        
                
                    
                        Operating system                    
                    
                        Windows 11 Home Single Language in S mode                    
                
            
                        
                
                    
                        Processor Name                    
                    
                        Intel® Core™ i5-1335U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)                    
                
            
                        
                
                    
                        Ports                    
                    
                        1 USB Type-A 10Gbps signaling rate; 1 USB Type-C® 10Gbps signaling rate (DisplayPort™ 1.4a)                    
                
            
                        
                
                    
                        Graphics                    
                    
                        Intel® UHD Graphics                    
                
            
                        
                
                    
                        Memory and storage                    
                    
                        16 GB memory; 1 TB SSD storage                    
                
            
                        
                
                    
                        Video connectors                    
                    
                        1 HDMI-in 1.4b                    
                
            
                    
                
            
                HP ELITE DRAGONFLY DC1015 (PDF 6MB)
            
            
                                                                        
                        
                            Product Info                        
                        
                                                            
                                    
                                                                                
                                            Sku                                        
                                    
                                    
                                        
                                            9R4N9PA                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Product type                                        
                                    
                                    
                                        
                                            Desktops                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Series                                        
                                    
                                    
                                        
                                            ENVY                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Recommended Usage                                        
                                    
                                    
                                        
                                            Premium                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Perfect For                                        
                                    
                                    
                                        
                                            Home                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Appearance                        
                        
                                                            
                                    
                                                                                
                                            Product color                                        
                                    
                                    
                                        
                                            Shell white                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Product design                                        
                                    
                                    
                                        
                                            Speckle design, textured pattern                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Form factor                                        
                                    
                                    
                                        
                                            All-in-One PC                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            SUPPORTED OPERATING SYSTEMS                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Operating system                                        
                                    
                                    
                                        
                                            Windows 11 Home Single Language in S mode                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Processors                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Processor Generation                                        
                                    
                                    
                                        
                                            13th Generation Intel® Core™ i5 processor                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Processor Name                                        
                                    
                                    
                                        
                                            Intel® Core™ i5-1335U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Processor footnote                                        
                                    
                                    
                                        
                                            [6] Multi-core is designed to improve performance of certain software products. Not all customers or software applications will necessarily benefit from use of this technology. Performance and clock frequency will vary depending on application workload and your hardware and software configurations. Intel’s numbering, branding and/or naming is not a measurement of higher performance.
[7] Intel® Turbo Boost performance varies depending on hardware, software and overall system configuration. See http://www.intel.com/technology/turboboost/ for more information.                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Memory:                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Memory                                        
                                    
                                    
                                        
                                            16 GB LPDDR5-4800 MHz RAM (onboard)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Memory Note                                        
                                    
                                    
                                        
                                            Transfer rates up to 4800 MT/s.                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Memory layout                                        
                                    
                                    
                                        
                                            onboard                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Storage:                        
                        
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Hard drive description                                        
                                    
                                    
                                        
                                            1 TB PCIe® NVMe™ M.2 SSD                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Cloud service                                        
                                    
                                    
                                        
                                            25 GB Dropbox storage for 12 months                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Display and graphics:                        
                        
                                                            
                                    
                                                                                
                                            Display                                        
                                    
                                    
                                        
                                            60.5 cm (23.8) diagonal, QHD (2560 x 1440), touch, IPS, three-sided micro-edge, BrightView, Low Blue Light, 300 nits, 99% sRGB                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Graphics                                        
                                    
                                    
                                        
                                            Intel® UHD Graphics                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Screen size                                        
                                    
                                    
                                        
                                            60.45 cm (23.8)                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            MULTIMEDIA AND INPUT DEVICES                        
                        
                                                            
                                    
                                                                                
                                            Audio features                                        
                                    
                                    
                                        
                                            Audio by B&O; Dual 5 W speakers                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Keyboard                                        
                                    
                                    
                                        
                                            HP 720 White Touchpad Integrated Bluetooth Keyboard                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            CONNECTIVITY AND COMMUNICATIONS                        
                        
                                                            
                                    
                                                                                
                                            Wireless                                        
                                    
                                    
                                        
                                            Realtek Wi-Fi 6E RTL8852CE (2x2) and Bluetooth® 5.3 wireless card                                        
                                    
                                
                                                            
                                    
                                                                                
                                            I/O Port location                                        
                                    
                                    
                                        
                                            Side                                        
                                    
                                
                                                            
                                    
                                                                                    
                                        ?
                                    
                                                                                
                                            Ports                                        
                                    
                                    
                                        
                                            1 USB Type-A 10Gbps signaling rate; 1 USB Type-C® 10Gbps signaling rate (DisplayPort™ 1.4a)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Expansion slots                                        
                                    
                                    
                                        
                                            2 M.2 (1 for SSD, 1 for WLAN)                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Video connectors                                        
                                    
                                    
                                        
                                            1 HDMI-in 1.4b                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            CAMERA SPECIFICATIONS                        
                        
                                                            
                                    
                                                                                
                                            Webcam                                        
                                    
                                    
                                        
                                            HP Wide Vision 5 MP IR privacy camerawith temporal noise reduction and integrated dual array digital microphones                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            BATTERY AND POWER                        
                        
                                                            
                                    
                                                                                
                                            Power supply type                                        
                                    
                                    
                                        
                                            90 W Smart AC power adapter                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Energy Efficiency Compliance                                        
                                    
                                    
                                        
                                            EPEAT® registered                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Software:                        
                        
                                                            
                                    
                                                                                
                                            Software included                                        
                                    
                                    
                                        
                                            McAfee Online Protection 30-day trial                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Software footnote                                        
                                    
                                    
                                        
                                            [2] Internet access required and not included. McAfee is pre-installed on your PC and an account is required for activation. Subscription renewal required after trial period. VPN feature is not available in India, China, Syria or North Korea. McAfee is not compatible with Windows 11 in S mode. You'll need to permanently switch out of S mode. There's no charge to switch out of S mode, but you won't be able to turn it back on.                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Dimensions And Weight                        
                        
                                                            
                                    
                                                                                
                                            Dimensions (W x D x H)                                        
                                    
                                    
                                        
                                            55.23 x 14.86 x 36.66 cm                                        
                                    
                                
                                                            
                                    
                                                                                
                                            Weight                                        
                                    
                                    
                                        
                                            4.1 kg                                        
                                    
                                
                                                    
                    
                                                                            
                        
                            Environmental                        
                        
                                                            
                                    
                                                                                
                                            Environmental                                        
                                    
                                    
                                        
                                            55% post-consumer recycled plastic; Ocean-bound plastic in speaker enclosure(s); 100% recycled polyester in speaker and pocket fabric; 45% recycled metal                                        
                                    
                                
                                                    
                    
                                                
        
                
            
                See more Specs"
